#==============================================================================
# tracerinfo.dat: Created by GEOS-CHEM at 2014/02/28 17:13
#
# ****** CUSTOMIZED FOR NOx-Ox-Hydrocarbon-Aerosol SIMULATION *****
#
# This file contains name weight and index information about GEOS-CHEM
# tracers.  It is read by routine "ctm_tracerinfo.pro" of the GAMAP package.
#
# File Format:
# -----------------------------------------------------------------------------
# NAME     (A8   )  Tracer name (up to 8 chars)
#  --      (1X   )  1-character spacer
# FULLNAME (A30  )  Full tracer name (up to 30 chars)
# MOLWT    (E10.0)  Molecular weight (kg/mole)
# C        (I3   )  For HC's: # moles C/moles tracer; otherwise set=1
# TRACER   (I9   )  Tracer number (up to 9 digits)
# SCALE    (E10.3)  Standard scale factor to convert to unit given below
#  --      (1X   )  1-character spacer
# UNIT     (A40  )  Unit string
#
#==============================================================================
# GEOS-CHEM tracers [ppbv]
#==============================================================================
ALD2     ALD2 tracer                    1.200E-02  2     1011 1.000E+00 atoms C/cm2/s
RCHO     RCHO tracer                    5.800E-02  1     1012 1.000E+00 molec/cm2/s
MVK      MVK tracer                     7.000E-02  1     1013 1.000E+00 molec/cm2/s
MACR     MACR tracer                    7.000E-02  1     1014 1.000E+00 molec/cm2/s
PMN      PMN tracer                     1.470E-01  1     1015 1.000E+00 molec/cm2/s
PPN      PPN tracer                     1.350E-01  1     1016 1.000E+00 molec/cm2/s
R4N2     R4N2 tracer                    1.190E-01  1     1017 1.000E+00 molec/cm2/s
PRPE     PRPE tracer                    1.200E-02  3     1018 1.000E+00 atoms C/cm2/s
C3H8     C3H8 tracer                    1.200E-02  3     1019 1.000E+00 atoms C/cm2/s
CH2O     CH2O tracer                    3.000E-02  1     1020 1.000E+00 molec/cm2/s
C2H6     C2H6 tracer                    1.200E-02  2     1021 1.000E+00 atoms C/cm2/s
N2O5     N2O5 tracer                    1.050E-01  1     1022 1.000E+00 molec/cm2/s
HNO4     HNO4 tracer                    7.900E-02  1     1023 1.000E+00 molec/cm2/s
MP       MP tracer                      4.800E-02  1     1024 1.000E+00 molec/cm2/s
DMS      DMS tracer                     6.200E-02  1     1025 1.000E+00 molec/cm2/s
SO2      SO2 tracer                     6.400E-02  1     1026 1.000E+00 molec/cm2/s
SO4      SO4 tracer                     9.600E-02  1     1027 1.000E+00 molec/cm2/s
SO4s     SO4s tracer                    9.600E-02  1     1028 1.000E+00 molec/cm2/s
MSA      MSA tracer                     9.600E-02  1     1029 1.000E+00 molec/cm2/s
NH3      NH3 tracer                     1.700E-02  1     1030 1.000E+00 molec/cm2/s
NH4      NH4 tracer                     1.800E-02  1     1031 1.000E+00 molec/cm2/s
NIT      NIT tracer                     6.200E-02  1     1032 1.000E+00 molec/cm2/s
NITs     NITs tracer                    6.200E-02  1     1033 1.000E+00 molec/cm2/s
BCPI     BCPI tracer                    1.200E-02  1     1034 1.000E+00 molec/cm2/s
OCPI     OCPI tracer                    1.200E-02  1     1035 1.000E+00 molec/cm2/s
BCPO     BCPO tracer                    1.200E-02  1     1036 1.000E+00 molec/cm2/s
OCPO     OCPO tracer                    1.200E-02  1     1037 1.000E+00 molec/cm2/s
ALPH     ALPH tracer                    1.360E-01  1     1038 1.000E+00 molec/cm2/s
LIMO     LIMO tracer                    1.360E-01  1     1039 1.000E+00 molec/cm2/s
ALCO     ALCO tracer                    1.420E-01  1     1040 1.000E+00 molec/cm2/s
SOG1     SOG1 tracer                    1.500E-01  1     1041 1.000E+00 molec/cm2/s
SOG2     SOG2 tracer                    1.600E-01  1     1042 1.000E+00 molec/cm2/s
SOG3     SOG3 tracer                    2.200E-01  1     1043 1.000E+00 molec/cm2/s
SOG4     SOG4 tracer                    1.300E-01  1     1044 1.000E+00 molec/cm2/s
SOG5     SOG5 tracer                    1.500E-01  1     1045 1.000E+00 molec/cm2/s
SOA1     SOA1 tracer                    1.500E-01  1     1046 1.000E+00 molec/cm2/s
SOA2     SOA2 tracer                    1.600E-01  1     1047 1.000E+00 molec/cm2/s
SOA3     SOA3 tracer                    2.200E-01  1     1048 1.000E+00 molec/cm2/s
SOA4     SOA4 tracer                    1.300E-01  1     1049 1.000E+00 molec/cm2/s
SOA5     SOA5 tracer                    1.500E-01  1     1050 1.000E+00 molec/cm2/s
DST1     DST1 tracer                    2.900E-02  1     1051 1.000E+00 molec/cm2/s
DST2     DST2 tracer                    2.900E-02  1     1052 1.000E+00 molec/cm2/s
DST3     DST3 tracer                    2.900E-02  1     1053 1.000E+00 molec/cm2/s
DST4     DST4 tracer                    2.900E-02  1     1054 1.000E+00 molec/cm2/s
SALA     SALA tracer                    3.600E-02  1     1055 1.000E+00 molec/cm2/s
SALC     SALC tracer                    3.600E-02  1     1056 1.000E+00 molec/cm2/s
GLYX     GLYX tracer                    5.800E-02  1     1057 1.000E+00 molec/cm2/s
MGLY     MGLY tracer                    7.200E-02  1     1058 1.000E+00 molec/cm2/s
BENZ     BENZ tracer                    1.200E-02  6     1059 1.000E+00 atoms C/cm2/s
TOLU     TOLU tracer                    1.200E-02  7     1060 1.000E+00 atoms C/cm2/s
XYLE     XYLE tracer                    1.200E-02  8     1061 1.000E+00 atoms C/cm2/s
MONX     MONX tracer                    1.200E-02 10     1062 1.000E+00 atoms C/cm2/s
SOAG     SOAG tracer                    5.800E-02  1     1063 1.000E+00 molec/cm2/s
SOAM     SOAM tracer                    7.200E-02  1     1064 1.000E+00 molec/cm2/s
C2H4     C2H4 tracer                    1.200E-02  2     1065 1.000E+00 atoms C/cm2/s
C2H2     C2H2 tracer                    1.200E-02  2     1066 1.000E+00 atoms C/cm2/s
